Participant,Gender,Test_Date ,Trial_Number,Video_Side,Video_Number,Fam_Right_Box,Fam_Left_Box,LeftBox_Time,RightBox_Time,Opens_LeftBox,Opens_RightBox,Notes
Bwambale,M,1/18/24,1,Left,1,1,1,1,38,1,1,**Cool Video at End
Bwambale,M,1/18/24,2,Left,3,1,1,2,24,1,1,
Bwambale,M,1/20/24,3,Right,No_Video,1,1,12,4,1,1,
Bwambale,M,1/20/24,4,Right,No_Video,1,1,27,0,1,0,
Boluku,M,1/15/24,1,Right,No_Video,1,1,47,0,1,0,
Boluku,M,1/15/24,2,Right,No_Video,1,1,48,0,1,0,
Boluku,M,1/17/24,3,Left,2,1,1,13,38,1,1,Great Video at End Cam 1!
Boluku,M,1/17/24,4,Left,3,1,1,0,54,0,1,
Rambo,M,1/15/24,1,Left,1,1,1,7,37,1,1,
Rambo,M,1/15/24,2,Left,4,1,1,8,39,1,1,
Rambo,M,1/17/24,3,Right,No_Video,1,1,25,3,1,1,
Rambo,M,1/17/24,4,Right,No_Video,1,1,42,0,1,0,
Nkuumwa,F,1/15/24,1,Right,4,1,1,28,0,1,0,
Nkuumwa,F,1/15/24,2,Right,2,1,1,51,0,1,0,
Nkuumwa,F,1/17/24,3,Left,No_Video,1,1,0,27,0,27,
Nkuumwa,F,1/17/24,4,Left,No_Video,1,1,11,30,1,30,
Becky,F,1/15/24,1,Left,No_Video,1,1,0,0,0,0,
Becky,F,1/15/24,2,Left,No_Video,1,1,0,0,0,0,
Becky,F,1/17/24,3,Right,1,1,1,0,0,0,0,
Becky,F,1/17/24,4,Right,2,1,1,6,0,1,0,
Sally,F,1/15/24,1,Left,No_Video,1,1,0,42,0,1,
Sally,F,1/15/24,2,Left,No_Video,1,1,0,39,0,1,
Sally,F,1/17/24,3,Right,3,1,1,50,0,1,0,Trial 3 repeated because Sally grabbed tablet in first attempt
Sally,F,1/17/24,4,Right,2,1,1,23,0,1,0,
Nani,F,1/15/24,1,Left,No_Video,1,1,0,12,0,1,
Nani,F,1/15/24,2,Left,No_Video,1,1,0,40,0,1,
Nani,F,1/17/24,3,Right,1,1,1,7,0,1,0,
Nani,F,1/17/24,4,Right,3,1,1,22,0,1,0,
Naku,F,1/20/24,1,Left,No_Video,1,1,0,15,0,1,
Naku,F,1/20/24,2,Left,No_Video,1,1,0,0,0,0,
Naku,F,1/22/24,3,Left,2,1,1,0,21,0,1,
Naku,F,1/22/24,4,Left,3,1,1,5,0,1,0,
Pasa,F,1/14/24,1,Right,2,1,1,29,0,1,0,
Pasa,F,1/14/24,2,Right,3,1,1,32,0,1,0,
Pasa,F,1/16/24,3,Left,No_Video,1,1,0,33,0,1,
Pasa,F,1/16/24,4,Left,No_Video,1,1,5,47,1,1,
Asega,M,1/14/24,1,Right,No_Video,1,1,14,7,1,1,
Asega,M,1/14/24,2,Right,No_Video,1,1,11,3,1,1,
Asega,M,1/16/24,3,Left,3,1,1,8,4,1,1,
Asega,M,1/16/24,4,Left,4,1,1,21,17,1,1,
Kalema,M,1/15/24,1,Right,No_Video,1,1,5,0,1,0,
Kalema,M,1/15/24,2,Right,No_Video,1,1,18,0,1,0,
Kalema,M,1/19/24,3,Left,4,1,1,12,2,1,1,
Kalema,M,1/19/24,4,Left,1,1,1,8,15,1,1,
Indi,M,1/15/24,1,Right,3,1,1,0,11,0,1,
Indi,M,1/15/24,2,Right,1,1,1,0,0,0,0,
Indi,M,1/17/24,3,Left,No_Video,1,1,0,29,0,1,
Indi,M,1/17/24,4,Left,No_Video,1,1,5,33,1,1,
Yoyo,F,1/14/24,1,Right,1,1,1,41,4,1,1,
Yoyo,F,1/14/24,2,Right,2,1,1,41,3,1,1,
Yoyo,F,1/16/24,3,Left,No_Video,1,1,15,32,1,1,
Yoyo,F,1/16/24,4,Left,No_Video,1,1,8,22,1,1,
Medina,F,1/15/24,1,Left,3,1,1,0,4,0,1,
Medina,F,1/15/24,2,Left,2,1,1,0,2,0,1,
Medina,F,1/17/24,3,Right,No_Video,1,1,0,17,0,1,
Medina,F,1/17/24,4,Right,No_Video,1,1,22,0,1,0,
Oketch,M,1/15/24,1,Left,No_Video,1,1,2,16,1,1,
Oketch,M,1/15/24,2,Left,No_Video,1,1,0,34,0,1,
Oketch,M,1/17/24,3,Right,4,1,1,3,5,1,1,
Oketch,M,1/17/24,4,Right,1,1,1,3,11,1,1,
Billy,F,1/19/24,1,Left,4,1,1,29,0,1,0,
Billy,F,1/19/24,2,Left,1,1,1,0,0,0,0,
Billy,F,1/21/24,3,Right,No_Video,1,1,50,0,1,0,
Billy,F,1/21/24,4,Right,No_Video,1,1,25,0,1,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,